dl.smv	dl.lola		dl.mcm	dl.clp			dl.smod			dl.cnmc					
needed	stat	time	needed	gen	solve	time	gen	solve	needed	gen	solve	sym	asym	dis	input
?	0	0.020	7.30	0.000	0.000	0.000	0.008	0.020	0.028	0.2	0.0	0.0	0.01	0.02	test/nets/pr/med/knuth_2
?	0	0.030	9.22	0.000	0.000	0.000	0.004	0.024	0.028	0.21	0.0	0.01	0.01	0.03	test/nets/pr/med/knuth_2.sync
7.980	0	0.010	11.64	0.000	0.000	0.000	0.048	0.268	0.316	0.65	0.0	0.02	0.06	0.08	test/nets/pr/med/mmgt_3.fsa
?	0	0.010	1.96	0.000	0.000	0.020	0.200	0.236	0.436	0.82	0.9	0.03	0.08	0.13	test/nets/pr/med/q_1
?	0	0.010	0.64	0.000	0.000	0.010	0.084	0.004	0.088	0.95	0.62	0.02	0.09	0.13	test/nets/pr/med/q_1.fsa
?	0	0.030	1.04	0.000	0.000	0.010	0.016	0.052	0.068	0.25	0.15	0.01	0.02	0.04	test/nets/pr/med/rw_1w2r
?	0	2.670	317.48	0.000	0.140	0.160	0.312	9.056	9.368	2.12	0.0	0.09	0.18	0.35	test/nets/pr/med/rw_2w1r
?	0	5.180	315.76	0.000	0.140	0.170	0.316	8.828	9.144	2.11	4.12	0.09	0.17	0.35	test/nets/pr/med/rw_2w1r.sync
2.440	0	0.000	0.08	0.000	0.000	0.000	0.020	0.192	0.212	0.33	0.08	0.01	0.01	0.03	test/nets/pr/med/speed_1.fsa
?	0	0.010	0.18	0.000	0.000	0.000	0.000	0.004	0.004	0.14	0.0	0.0	0.0	0.01	test/nets/pr/small/ab_gesc
0.040	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.01	0.0	test/nets/pr/small/abp_1.fsa
?	error	572.740	2.10	0.000	0.000	0.000	0.004	0.000	0.004	0.13	0.02	0.0	0.01	0.01	test/nets/pr/small/byzagr4_0b
?	error	569.630	2.16	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.01	test/nets/pr/small/byzagr4_0b.sync
?	0	0.020	na	0.000	0.000	0.000	na	na	0.004	0.1	0.0	na	na	na	test/nets/pr/small/byzagr4_2a
?	0	0.020	na	0.000	0.000	0.000	na	na	0.004	0.1	0.0	na	na	na	test/nets/pr/small/byzagr4_2a.sync
?	killed	0.000	0.52	0.000	0.000	0.000	0.004	0.016	0.020	0.16	0.0	0.0	0.01	0.01	test/nets/pr/small/cottbus_plate_5
?	killed	0.000	0.98	0.000	0.000	0.000	0.000	0.028	0.028	0.17	0.0	0.01	0.01	0.01	test/nets/pr/small/cottbus_plate_5.sync
?	0	0.010	0.72	0.000	0.000	0.000	0.004	0.020	0.024	0.14	0.0	0.0	0.01	0.01	test/nets/pr/small/dijkstra_2
?	0	0.010	1.08	0.000	0.000	0.000	0.008	0.024	0.032	0.15	0.0	0.0	0.01	0.01	test/nets/pr/small/dijkstra_2.sync
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.01	test/nets/pr/small/dme2
?	0	0.040	0.00	0.000	0.000	0.000	0.004	0.016	0.020	0.13	0.02	0.01	0.0	0.01	test/nets/pr/small/dme3
?	0	0.420	0.02	0.000	0.000	0.000	0.004	0.068	0.072	0.16	0.05	0.01	0.0	0.01	test/nets/pr/small/dme4
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/pr/small/do_od
10.960	0	0.040	0.00	0.000	0.000	0.000	0.008	0.000	0.008	0.12	0.0	0.0	0.01	0.0	test/nets/pr/small/eisenbahn
14.780	0	0.100	0.00	0.000	0.000	0.000	0.012	0.000	0.012	0.16	0.0	0.0	0.0	0.01	test/nets/pr/small/eisenbahn.sync
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.01	test/nets/pr/small/elevator
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.01	0.0	0.0	test/nets/pr/small/elevator_1
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.01	test/nets/pr/small/elevator_1.fsa
?	0	0.020	0.00	0.000	0.000	0.000	0.008	0.020	0.028	0.25	0.0	0.0	0.02	0.02	test/nets/pr/small/elevator_2
?	0	0.020	0.00	0.000	0.000	0.000	0.008	0.020	0.028	0.25	0.04	0.0	0.01	0.02	test/nets/pr/small/elevator_2.fsa
0.060	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.01	0.0	test/nets/pr/small/furnace_1.fsa
0.020	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/pr/small/gas_station
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.028	0.032	0.13	0.0	0.0	0.01	0.0	test/nets/pr/small/key_2
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.028	0.032	0.14	0.0	0.0	0.01	0.01	test/nets/pr/small/key_2.fsa
0.040	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/pr/small/mmgt_1.fsa
0.560	0	0.000	0.02	0.000	0.000	0.000	0.004	0.004	0.008	0.16	0.0	0.0	0.01	0.0	test/nets/pr/small/mmgt_2.fsa
?	0	0.000	0.06	0.000	0.000	0.000	0.004	0.008	0.012	0.12	0.02	0.0	0.0	0.0	test/nets/pr/small/mutual
0.020	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.09	0.0	na	na	na	test/nets/pr/small/only_hl
?	0	0.020	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.11	0.01	0.0	0.01	0.0	test/nets/pr/small/parrow
0.260	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/pr/small/peterson
0.020	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/pr/small/peterson_pfa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/pr/small/reader_writer_2
0.040	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/pr/small/recursion
30.700	0	0.050	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/pr/small/rrr10-1.sync
?	0	2.320	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.1	0.0	0.0	0.01	0.0	test/nets/pr/small/rrr20-1.sync
?	0	10.500	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/pr/small/rrr30-1.sync
?	error	286.380	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/pr/small/rrr50-1.sync
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.12	0.01	0.0	0.01	0.0	test/nets/pr/small/rw_1w1r
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.12	0.02	0.0	0.0	0.0	test/nets/pr/small/rw_1w1r.sync
?	0	12.020	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/pr/small/sdl_arq
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/pr/small/sdl_arq_deadlock
?	0	0.010	na	0.000	0.000	0.000	na	na	0.004	0.1	0.0	na	na	na	test/nets/pr/small/sdl_example
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.01	0.0	0.0	0.0	test/nets/pr/small/sentest_100.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.1	0.0	0.01	0.0	0.0	test/nets/pr/small/sentest_25.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.01	0.0	0.0	0.0	test/nets/pr/small/sentest_50.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.01	0.0	0.0	0.0	test/nets/pr/small/sentest_75.fsa
0.160	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.01	0.0	test/nets/pr/small/stack_full

Generated on Tue, 18 Oct 2011 10:41:13 +0200; 243 test cases
