dl.smv		dl.lola		dl.mcm		dl.clp		dl.smod		dl.cnmc		
stat	result	stat	result	stat	result	stat	result	stat	result	stat	result	input
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/other/sem
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/bds_1.sync
killed	?	killed	?	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/byzagr4_1b
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/dpd_7.sync
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/large/elevator_4
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/large/elevator_4.dlmcs.sync
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/large/elevator_4.fsa
killed	?	error	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/large/elevator_4.old
killed	?	killed	?	3	?	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/ftp_1.fsa
killed	?	killed	?	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/ftp_1.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/furnace_3
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/furnace_3.fsa
killed	?	0	LIVE	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/furnace_4
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/large/key_3.sync
killed	?	0	DEAD	3	?	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/large/key_4
killed	?	0	DEAD	3	?	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/large/key_4.fsa
killed	?	0	DEAD	3	?	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/large/mmgt_4.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	LIVE	0	DEAD	test/nets/plain/large/q_1.sync
killed	?	error	DEAD	3	?	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/rw_12
killed	?	error	DEAD	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/rw_12.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/rw_1w3r
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/large/rw_1w3r.sync
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/bds_1.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/bruijn_2
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/bruijn_2.sync
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/dme10
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/dme11
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/dme5
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/dme6
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/dme7
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/dme8
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/dme9
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/med/elevator_3
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/med/elevator_3.dlmcs.sync
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/med/elevator_3.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/furnace_2.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/med/key_3
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/med/key_3.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/knuth_2
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/knuth_2.sync
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/med/mmgt_3.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	!!LIVE	0	DEAD	test/nets/plain/med/q_1
killed	?	0	DEAD	0	DEAD	0	DEAD	0	!!LIVE	0	DEAD	test/nets/plain/med/q_1.fsa
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/rw_1w2r
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/rw_2w1r
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/med/rw_2w1r.sync
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/med/speed_1.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/ab_gesc
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/abp_1.fsa
killed	?	error	DEAD	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/byzagr4_0b
killed	?	error	DEAD	killed	?	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/byzagr4_0b.sync
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/byzagr4_2a
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/plain/small/byzagr4_2a.sync
killed	?	killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/cottbus_plate_5
killed	?	killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/plain/small/cottbus_plate_5.sync
